UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:Q0D2I5:T116:PRGE	Intermediate filament family orphan 1|IFFO1	UNIPROT:Q0D2I5|GENE:25900
UNIPROT:Q8IZU9:T116:PRGE	Kin of IRRE-like protein 3|KIRREL3	UNIPROT:Q8IZU9|GENE:84623
UNIPROT:Q9UIC8:T116:PRGE	Leucine carboxyl methyltransferase 1|LCMT1	UNIPROT:Q9UIC8|GENE:51451
UNIPROT:P50993:T116:PRGE	Sodium/potassium-transporting ATPase subunit alpha-2|ATP1A2	UNIPROT:P50993|GENE:477
UNIPROT:Q19T08:T116:PRGE	Endothelial cell-specific chemotaxis regulator|ECSCR	UNIPROT:Q19T08|GENE:641700
UNIPROT:O43286:T116:PRGE	Beta4Gal-T5|B4GALT5	UNIPROT:O43286|GENE:9334
UNIPROT:Q6IPR3:T116:PRGE	tRNA wybutosine-synthesizing protein 3 homolog|TYW3	UNIPROT:Q6IPR3|GENE:127253
UNIPROT:Q96CB8:T116:PRGE	Integrator complex subunit 12|INTS12	UNIPROT:Q96CB8|GENE:57117
UNIPROT:P04843:T116:PRGE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1|RPN1	UNIPROT:P04843|GENE:6184
UNIPROT:A8MWL7:T116:PRGE	Transmembrane protein 14D	UNIPROT:A8MWL7
UNIPROT:Q9HB14:T116:PRGE	Potassium channel subfamily K member 13|KCNK13	UNIPROT:Q9HB14|GENE:56659
UNIPROT:A6NFT4:T116:PRGE	Coiled-coil domain-containing protein 42B|CCDC42B	UNIPROT:A6NFT4|GENE:387885
UNIPROT:Q2TAP0:T116:PRGE	Golgin subfamily A member 7B|GOLGA7B	UNIPROT:Q2TAP0|GENE:401647
UNIPROT:Q1XH10:T116:PRGE	Protein DLN-1|C10orf140	UNIPROT:Q1XH10|GENE:387640
UNIPROT:Q9NVL8:T116:PRGE	Uncharacterized protein C14orf105|C14orf105	UNIPROT:Q9NVL8|GENE:55195
UNIPROT:Q8N7K9:T116:PRGE	Uncharacterized protein C19orf64	UNIPROT:Q8N7K9
UNIPROT:O43763:T116:PRGE	T-cell leukemia homeobox protein 2|TLX2	UNIPROT:O43763|GENE:3196
UNIPROT:Q8TAQ2:T116:PRGE	SWI/SNF complex subunit SMARCC2|SMARCC2	UNIPROT:Q8TAQ2|GENE:6601
UNIPROT:Q7RTT6:T116:PRGE	Putative protein SSX6	UNIPROT:Q7RTT6
UNIPROT:P01040:T116:PRGE	Cystatin-A|CSTA	UNIPROT:P01040|GENE:1475
UNIPROT:Q14112:T116:PRGE	NID-2|NID2	UNIPROT:Q14112|GENE:22795
UNIPROT:Q6IEV9:T116:PRGE	Olfactory receptor 4C11|OR4C11	UNIPROT:Q6IEV9|GENE:219429
UNIPROT:P27701:T116:PRGE	CD82 antigen|CD82	UNIPROT:P27701|GENE:3732
UNIPROT:Q8N4H5:T116:PRGE	Mitochondrial import receptor subunit TOM5 homolog|TOMM5	UNIPROT:Q8N4H5|GENE:401505
UNIPROT:Q86VF2:T116:PRGE	Immunoglobulin-like and fibronectin type III domain-containing protein 1	UNIPROT:Q86VF2
UNIPROT:Q96JN2:T116:PRGE	Coiled-coil domain-containing protein 136|CCDC136	UNIPROT:Q96JN2|GENE:64753
UNIPROT:P32004:T116:PRGE	NCAM-L1|L1CAM	UNIPROT:P32004|GENE:3897
UNIPROT:P21439:T116:PRGE	Multidrug resistance protein 3|ABCB4	UNIPROT:P21439|GENE:5244
UNIPROT:Q9HAR2:T116:PRGE	Latrophilin-3|LPHN3	UNIPROT:Q9HAR2|GENE:23284
UNIPROT:A6NKD9:T116:PRGE	Coiled-coil domain-containing protein 85C|CCDC85C	UNIPROT:A6NKD9|GENE:317762
UNIPROT:Q8IWW8:T116:PRGE	Hydroxyacid-oxoacid transhydrogenase, mitochondrial|ADHFE1	UNIPROT:Q8IWW8|GENE:137872
UNIPROT:O15375:T116:PRGE	MCT 6|SLC16A5	UNIPROT:O15375|GENE:9121
UNIPROT:Q8N9Z9:T116:PRGE	Intermediate filament tail domain-containing protein 1|IFLTD1	UNIPROT:Q8N9Z9|GENE:160492
UNIPROT:Q9BW71:T116:PRGE	HIRA-interacting protein 3|HIRIP3	UNIPROT:Q9BW71|GENE:8479
UNIPROT:Q9BYG5:T116:PRGE	PAR-6B|PARD6B	UNIPROT:Q9BYG5|GENE:84612
UNIPROT:Q9BUX1:T116:PRGE	Cation transport regulator-like protein 1|CHAC1	UNIPROT:Q9BUX1|GENE:79094
UNIPROT:Q5T890:T116:PRGE	Putative DNA repair and recombination protein RAD26-like|C9orf102	UNIPROT:Q5T890|GENE:375748
UNIPROT:Q8NDA8:T116:PRGE	HEAT repeat-containing protein 7A|HEATR7A	UNIPROT:Q8NDA8|GENE:727957
UNIPROT:Q96PH6:T116:PRGE	Beta-defensin 118|DEFB118	UNIPROT:Q96PH6|GENE:117285
UNIPROT:P63027:T116:PRGE	VAMP-2|VAMP2	UNIPROT:P63027|GENE:6844
UNIPROT:Q6ZSM3:T116:PRGE	Monocarboxylate transporter 12|SLC16A12	UNIPROT:Q6ZSM3|GENE:387700
UNIPROT:P0C7U1:T116:PRGE	Putative inactive neutral ceramidase B|ASAH2B	UNIPROT:P0C7U1|GENE:653308
UNIPROT:Q9Y462:T116:PRGE	Zinc finger protein 711|ZNF711	UNIPROT:Q9Y462|GENE:7552
UNIPROT:Q8N4M7:T116:PRGE	Putative uncharacterized protein C10orf126	UNIPROT:Q8N4M7
UNIPROT:Q14671:T116:PRGE	Pumilio-1|PUM1	UNIPROT:Q14671|GENE:9698
UNIPROT:P35325:T116:PRGE	SPR-2B|SPRR2B	UNIPROT:P35325|GENE:6701
UNIPROT:Q6ZSR3:T116:PRGE	Putative uncharacterized protein FLJ45275, mitochondrial	UNIPROT:Q6ZSR3
UNIPROT:Q9NZR2:T116:PRGE	Low-density lipoprotein receptor-related protein 1B|LRP1B	UNIPROT:Q9NZR2|GENE:53353
UNIPROT:A6NMZ4:T116:PRGE	Protein FAM86D	UNIPROT:A6NMZ4
UNIPROT:Q13163:T116:PRGE	MAPKK 5|MAP2K5	UNIPROT:Q13163|GENE:5607
UNIPROT:Q06481:T116:PRGE	Amyloid-like protein 2|APLP2	UNIPROT:Q06481|GENE:334
UNIPROT:Q9H341:T116:PRGE	Olfactory receptor 51M1	UNIPROT:Q9H341
UNIPROT:O43255:T116:PRGE	E3 ubiquitin-protein ligase SIAH2|SIAH2	UNIPROT:O43255|GENE:6478
UNIPROT:O15254:T116:PRGE	Peroxisomal acyl-coenzyme A oxidase 3|ACOX3	UNIPROT:O15254|GENE:8310
UNIPROT:Q9H095:T116:PRGE	IQ domain-containing protein G|IQCG	UNIPROT:Q9H095|GENE:84223
UNIPROT:O95563:T116:PRGE	Brain protein 44|BRP44	UNIPROT:O95563|GENE:25874
UNIPROT:Q3SY17:T116:PRGE	Mitochondrial carrier triple repeat protein 2|MCART2	UNIPROT:Q3SY17|GENE:147407
UNIPROT:Q9H270:T116:PRGE	hVPS11|VPS11	UNIPROT:Q9H270|GENE:55823
UNIPROT:Q8NGR2:T116:PRGE	Olfactory receptor 1L6|OR1L6	UNIPROT:Q8NGR2|GENE:392390
UNIPROT:Q6UXN8:T116:PRGE	C-type lectin domain family 9 member A|CLEC9A	UNIPROT:Q6UXN8|GENE:283420
UNIPROT:Q05195:T116:PRGE	Max dimerization protein 1|MXD1	UNIPROT:Q05195|GENE:4084
UNIPROT:P51648:T116:PRGE	Fatty aldehyde dehydrogenase|ALDH3A2	UNIPROT:P51648|GENE:224
UNIPROT:Q13613:T116:PRGE	Myotubularin-related protein 1|MTMR1	UNIPROT:Q13613|GENE:8776
UNIPROT:Q6PH81:T116:PRGE	UPF0547 protein C16orf87|C16orf87	UNIPROT:Q6PH81|GENE:388272
UNIPROT:Q96B86:T116:PRGE	Repulsive guidance molecule A|RGMA	UNIPROT:Q96B86|GENE:56963
UNIPROT:Q9Y2H9:T116:PRGE	Microtubule-associated serine/threonine-protein kinase 1|MAST1	UNIPROT:Q9Y2H9|GENE:22983
UNIPROT:Q92831:T116:PRGE	Histone acetyltransferase KAT2B|KAT2B	UNIPROT:Q92831|GENE:8850
UNIPROT:Q8TCC3:T116:PRGE	MRP-L30|MRPL30	UNIPROT:Q8TCC3|GENE:51263
UNIPROT:Q7Z3V4:T116:PRGE	Ubiquitin-protein ligase E3B|UBE3B	UNIPROT:Q7Z3V4|GENE:89910
UNIPROT:Q96SK2:T116:PRGE	Transmembrane protein 209|TMEM209	UNIPROT:Q96SK2|GENE:84928
UNIPROT:Q8NAA6:T116:PRGE	Uncharacterized protein C15orf53|C15orf53	UNIPROT:Q8NAA6|GENE:400359
UNIPROT:Q86Y82:T116:PRGE	Syntaxin-12|STX12	UNIPROT:Q86Y82|GENE:23673
UNIPROT:Q15544:T116:PRGE	Transcription initiation factor TFIID subunit 11|TAF11	UNIPROT:Q15544|GENE:6882
UNIPROT:Q9UIG5:T116:PRGE	Psoriasis susceptibility 1 candidate gene 1 protein|PSORS1C1	UNIPROT:Q9UIG5|GENE:170679
UNIPROT:P78423:T116:PRGE	Fractalkine|CX3CL1	UNIPROT:P78423|GENE:6376
UNIPROT:Q9H819:T116:PRGE	DnaJ homolog subfamily C member 18|DNAJC18	UNIPROT:Q9H819|GENE:202052
UNIPROT:Q7Z3Z0:T116:PRGE	Keratin, type I cytoskeletal 25|KRT25	UNIPROT:Q7Z3Z0|GENE:147183
UNIPROT:P35663:T116:PRGE	Cylicin-1|CYLC1	UNIPROT:P35663|GENE:1538
UNIPROT:Q8NGX2:T116:PRGE	Olfactory receptor 2T35|OR2T35	UNIPROT:Q8NGX2|GENE:403244
UNIPROT:P56545:T116:PRGE	CtBP2|CTBP2	UNIPROT:P56545|GENE:1488
UNIPROT:Q9HAK2:T116:PRGE	Transcription factor COE2|EBF2	UNIPROT:Q9HAK2|GENE:64641
UNIPROT:Q6V0I7:T116:PRGE	hFat4|FAT4	UNIPROT:Q6V0I7|GENE:79633
UNIPROT:Q7Z478:T116:PRGE	ATP-dependent RNA helicase DHX29|DHX29	UNIPROT:Q7Z478|GENE:54505
UNIPROT:O14684:T116:PRGE	Prostaglandin E synthase|PTGES	UNIPROT:O14684|GENE:9536
UNIPROT:Q13177:T116:PRGE	Serine/threonine-protein kinase PAK 2|PAK2	UNIPROT:Q13177|GENE:5062
UNIPROT:Q6P1N9:T116:PRGE	Putative deoxyribonuclease TATDN1|TATDN1	UNIPROT:Q6P1N9|GENE:83940
UNIPROT:Q9Y3C8:T116:PRGE	Ubiquitin-fold modifier-conjugating enzyme 1|UFC1	UNIPROT:Q9Y3C8|GENE:51506
UNIPROT:O75676:T116:PRGE	Ribosomal protein S6 kinase alpha-4|RPS6KA4	UNIPROT:O75676|GENE:8986
UNIPROT:Q9Y3E0:T116:PRGE	Vesicle transport protein GOT1B|GOLT1B	UNIPROT:Q9Y3E0|GENE:51026
UNIPROT:Q9NVV4:T116:PRGE	PAP|MTPAP	UNIPROT:Q9NVV4|GENE:55149
UNIPROT:P09093:T116:PRGE	Chymotrypsin-like elastase family member 3A|CELA3A	UNIPROT:P09093|GENE:10136
UNIPROT:Q14CW9:T116:PRGE	Ataxin-7-like protein 3|ATXN7L3	UNIPROT:Q14CW9|GENE:56970
UNIPROT:P17152:T116:PRGE	Transmembrane protein 11|TMEM11	UNIPROT:P17152|GENE:8834
UNIPROT:Q8WTV0:T116:PRGE	Scavenger receptor class B member 1|SCARB1	UNIPROT:Q8WTV0|GENE:949
UNIPROT:Q9ULC4:T116:PRGE	MCT-1|MCTS1	UNIPROT:Q9ULC4|GENE:28985
UNIPROT:Q15269:T116:PRGE	Periodic tryptophan protein 2 homolog|PWP2	UNIPROT:Q15269|GENE:5822
UNIPROT:Q15628:T116:PRGE	Tumor necrosis factor receptor type 1-associated DEATH domain protein|TRADD	UNIPROT:Q15628|GENE:8717
UNIPROT:P08571:T116:PRGE	Monocyte differentiation antigen CD14|CD14	UNIPROT:P08571|GENE:929
UNIPROT:Q8NI99:T116:PRGE	Angiopoietin-related protein 6|ANGPTL6	UNIPROT:Q8NI99|GENE:83854
UNIPROT:Q9BZR8:T116:PRGE	Apoptosis facilitator Bcl-2-like protein 14|BCL2L14	UNIPROT:Q9BZR8|GENE:79370
UNIPROT:O95278:T116:PRGE	Laforin|EPM2A	UNIPROT:O95278|GENE:7957
UNIPROT:O75347:T116:PRGE	Tubulin-specific chaperone A|TBCA	UNIPROT:O75347|GENE:6902
UNIPROT:Q96LD1:T116:PRGE	Zeta-sarcoglycan|SGCZ	UNIPROT:Q96LD1|GENE:137868
UNIPROT:Q8N9T2:T116:PRGE	Uncharacterized protein CXorf42	UNIPROT:Q8N9T2
UNIPROT:Q8N3J3:T116:PRGE	Uncharacterized protein C17orf53|C17orf53	UNIPROT:Q8N3J3|GENE:78995
UNIPROT:Q96CS4:T116:PRGE	Zinc finger protein 689|ZNF689	UNIPROT:Q96CS4|GENE:115509
UNIPROT:Q96CN5:T116:PRGE	Leucine-rich repeat-containing protein 45|LRRC45	UNIPROT:Q96CN5|GENE:201255
UNIPROT:Q8IZV5:T116:PRGE	Retinol dehydrogenase 10|RDH10	UNIPROT:Q8IZV5|GENE:157506
UNIPROT:Q00537:T116:PRGE	Cell division protein kinase 17|CDK17	UNIPROT:Q00537|GENE:5128
UNIPROT:Q93033:T116:PRGE	IgSF2|CD101	UNIPROT:Q93033|GENE:9398
UNIPROT:Q9BY67:T116:PRGE	Cell adhesion molecule 1|CADM1	UNIPROT:Q9BY67|GENE:23705
UNIPROT:Q7Z7B1:T116:PRGE	PIG-W|PIGW	UNIPROT:Q7Z7B1|GENE:284098
UNIPROT:Q9BY84:T116:PRGE	Dual specificity protein phosphatase 16|DUSP16	UNIPROT:Q9BY84|GENE:80824
UNIPROT:Q96IZ5:T116:PRGE	RNA-binding protein 41|RBM41	UNIPROT:Q96IZ5|GENE:55285
UNIPROT:Q9NS91:T116:PRGE	E3 ubiquitin-protein ligase RAD18|RAD18	UNIPROT:Q9NS91|GENE:56852
UNIPROT:Q9NPI8:T116:PRGE	Fanconi anemia group F protein|FANCF	UNIPROT:Q9NPI8|GENE:2188
UNIPROT:P50553:T116:PRGE	hASH1|ASCL1	UNIPROT:P50553|GENE:429
UNIPROT:Q6K0P9:T116:PRGE	Pyrin and HIN domain-containing protein 1|PYHIN1	UNIPROT:Q6K0P9|GENE:149628
UNIPROT:P42575:T116:PRGE	Caspase-2|CASP2	UNIPROT:P42575|GENE:835
UNIPROT:P59091:T116:PRGE	Uncharacterized protein C21orf93	UNIPROT:P59091
UNIPROT:Q8NBL1:T116:PRGE	KTEL motif-containing protein 1|POGLUT1	UNIPROT:Q8NBL1|GENE:56983
UNIPROT:O94986:T116:PRGE	Cep152|CEP152	UNIPROT:O94986|GENE:22995
UNIPROT:P51884:T116:PRGE	Lumican|LUM	UNIPROT:P51884|GENE:4060
UNIPROT:P26367:T116:PRGE	Paired box protein Pax-6|PAX6	UNIPROT:P26367|GENE:5080
UNIPROT:P01712:T116:PRGE	Ig lambda chain V-II region WIN	UNIPROT:P01712
UNIPROT:Q6PIS1:T116:PRGE	Solute carrier family 23 member 3|SLC23A3	UNIPROT:Q6PIS1|GENE:151295
UNIPROT:P40145:T116:PRGE	Adenylate cyclase type 8|ADCY8	UNIPROT:P40145|GENE:114
UNIPROT:Q8N7U9:T116:PRGE	Uncharacterized protein C17orf54	UNIPROT:Q8N7U9
UNIPROT:Q9H6D8:T116:PRGE	Fibronectin type III domain-containing protein 4|FNDC4	UNIPROT:Q9H6D8|GENE:64838
UNIPROT:Q9Y2X8:T116:PRGE	Ubiquitin-conjugating enzyme E2 D4|UBE2D4	UNIPROT:Q9Y2X8|GENE:51619
UNIPROT:O95630:T116:PRGE	STAM-binding protein|STAMBP	UNIPROT:O95630|GENE:10617
UNIPROT:Q6UWY2:T116:PRGE	Serine protease 1-like protein 1|PRSS57	UNIPROT:Q6UWY2|GENE:400668
UNIPROT:Q9UNK4:T116:PRGE	sPLA2-IID|PLA2G2D	UNIPROT:Q9UNK4|GENE:26279
UNIPROT:Q6P1N0:T116:PRGE	Coiled-coil and C2 domain-containing protein 1A|CC2D1A	UNIPROT:Q6P1N0|GENE:54862
UNIPROT:P10645:T116:PRGE	CgA|CHGA	UNIPROT:P10645|GENE:1113
UNIPROT:Q96D21:T116:PRGE	GTP-binding protein Rhes|RASD2	UNIPROT:Q96D21|GENE:23551
UNIPROT:Q6NZ63:T116:PRGE	STEAP family protein MGC87042|STEAP1B	UNIPROT:Q6NZ63|GENE:256227
UNIPROT:Q99081:T116:PRGE	Transcription factor 12|TCF12	UNIPROT:Q99081|GENE:6938
UNIPROT:Q6NVU6:T116:PRGE	Inactive Ufm1-specific protease 1|UFSP1	UNIPROT:Q6NVU6|GENE:402682
UNIPROT:Q6ZU65:T116:PRGE	Ubinuclein-2|UBN2	UNIPROT:Q6ZU65|GENE:254048
UNIPROT:Q8N2W9:T116:PRGE	E3 SUMO-protein ligase PIAS4|PIAS4	UNIPROT:Q8N2W9|GENE:51588
UNIPROT:Q8NGN0:T116:PRGE	Olfactory receptor 4D5|OR4D5	UNIPROT:Q8NGN0|GENE:219875
UNIPROT:Q9NY99:T116:PRGE	G2SYN|SNTG2	UNIPROT:Q9NY99|GENE:54221
UNIPROT:P03372:T116:PRGE	Estrogen receptor|ESR1	UNIPROT:P03372|GENE:2099
UNIPROT:Q8NH03:T116:PRGE	Olfactory receptor 2T3|OR2T3	UNIPROT:Q8NH03|GENE:343173
UNIPROT:Q14582:T116:PRGE	Max dimerization protein 4|MXD4	UNIPROT:Q14582|GENE:10608
UNIPROT:Q92817:T116:PRGE	Envoplakin|EVPL	UNIPROT:Q92817|GENE:2125
UNIPROT:Q92953:T116:PRGE	Potassium voltage-gated channel subfamily B member 2|KCNB2	UNIPROT:Q92953|GENE:9312
UNIPROT:Q9UBU7:T116:PRGE	Protein DBF4 homolog A|DBF4	UNIPROT:Q9UBU7|GENE:10926
UNIPROT:P51617:T116:PRGE	Interleukin-1 receptor-associated kinase 1|IRAK1	UNIPROT:P51617|GENE:3654
UNIPROT:P09172:T116:PRGE	Dopamine beta-hydroxylase|DBH	UNIPROT:P09172|GENE:1621
UNIPROT:Q7L099:T116:PRGE	Protein RUFY3|RUFY3	UNIPROT:Q7L099|GENE:22902
UNIPROT:Q9BTT0:T116:PRGE	Acidic leucine-rich nuclear phosphoprotein 32 family member E|ANP32E	UNIPROT:Q9BTT0|GENE:81611
UNIPROT:P04003:T116:PRGE	C4bp|C4BPA	UNIPROT:P04003|GENE:722
UNIPROT:Q8NGL9:T116:PRGE	Olfactory receptor 4C16|OR4C16	UNIPROT:Q8NGL9|GENE:219428
UNIPROT:Q9NZR1:T116:PRGE	Tropomodulin-2|TMOD2	UNIPROT:Q9NZR1|GENE:29767
UNIPROT:Q86V42:T116:PRGE	Protein FAM124A|FAM124A	UNIPROT:Q86V42|GENE:220108
UNIPROT:P19961:T116:PRGE	Alpha-amylase 2B|AMY2B	UNIPROT:P19961|GENE:280
UNIPROT:Q9BPZ3:T116:PRGE	PAIP-2|PAIP2	UNIPROT:Q9BPZ3|GENE:51247
UNIPROT:Q9UJS0:T116:PRGE	Calcium-binding mitochondrial carrier protein Aralar2|SLC25A13	UNIPROT:Q9UJS0|GENE:10165
UNIPROT:Q93099:T116:PRGE	Homogentisate 1,2-dioxygenase|HGD	UNIPROT:Q93099|GENE:3081
UNIPROT:Q9UKY7:T116:PRGE	Protein CDV3 homolog|CDV3	UNIPROT:Q9UKY7|GENE:55573
UNIPROT:A5X5Y0:T116:PRGE	5-hydroxytryptamine receptor 3E|HTR3E	UNIPROT:A5X5Y0|GENE:285242
UNIPROT:Q86SG5:T116:PRGE	Protein S100-A7A|S100A7A	UNIPROT:Q86SG5|GENE:338324
UNIPROT:Q13526:T116:PRGE	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1|PIN1	UNIPROT:Q13526|GENE:5300
UNIPROT:Q9NXU5:T116:PRGE	ADP-ribosylation factor-like protein 15|ARL15	UNIPROT:Q9NXU5|GENE:54622
UNIPROT:P50052:T116:PRGE	Type-2 angiotensin II receptor|AGTR2	UNIPROT:P50052|GENE:186
UNIPROT:A7E2F4:T116:PRGE	Golgin subfamily A member 8A|GOLGA8A	UNIPROT:A7E2F4|GENE:23015
UNIPROT:Q9NVW2:T116:PRGE	E3 ubiquitin-protein ligase RLIM|RLIM	UNIPROT:Q9NVW2|GENE:51132
UNIPROT:Q96IM9:T116:PRGE	DPY30 domain-containing protein 2|DYDC2	UNIPROT:Q96IM9|GENE:84332
UNIPROT:Q5SWA1:T116:PRGE	Protein phosphatase 1 regulatory subunit 15B|PPP1R15B	UNIPROT:Q5SWA1|GENE:84919
UNIPROT:P00749:T116:PRGE	uPA|PLAU	UNIPROT:P00749|GENE:5328
UNIPROT:Q9GZP0:T116:PRGE	PDGF-D|PDGFD	UNIPROT:Q9GZP0|GENE:80310
UNIPROT:P17658:T116:PRGE	Potassium voltage-gated channel subfamily A member 6|KCNA6	UNIPROT:P17658|GENE:3742
UNIPROT:Q9BYD6:T116:PRGE	39S ribosomal protein L1, mitochondrial|MRPL1	UNIPROT:Q9BYD6|GENE:65008
UNIPROT:P82914:T116:PRGE	S15mt|MRPS15	UNIPROT:P82914|GENE:64960
UNIPROT:Q9P2N5:T116:PRGE	RNA-binding protein 27|RBM27	UNIPROT:Q9P2N5|GENE:54439
UNIPROT:Q13007:T116:PRGE	Interleukin-24|IL24	UNIPROT:Q13007|GENE:11009
UNIPROT:Q9ULC0:T116:PRGE	Endomucin|EMCN	UNIPROT:Q9ULC0|GENE:51705
UNIPROT:P29275:T116:PRGE	Adenosine receptor A2b|ADORA2B	UNIPROT:P29275|GENE:136
UNIPROT:P08237:T116:PRGE	6-phosphofructokinase, muscle type|PFKM	UNIPROT:P08237|GENE:5213
UNIPROT:Q8IXH6:T116:PRGE	Tumor protein p53-inducible nuclear protein 2|TP53INP2	UNIPROT:Q8IXH6|GENE:58476
UNIPROT:Q9UPR6:T116:PRGE	Zinc finger RNA-binding protein 2|ZFR2	UNIPROT:Q9UPR6|GENE:23217
UNIPROT:Q60I27:T116:PRGE	ALS2 C-terminal-like protein|ALS2CL	UNIPROT:Q60I27|GENE:259173
UNIPROT:Q9H3Y8:T116:PRGE	Pancreatic progenitor cell differentiation and proliferation factor|PPDPF	UNIPROT:Q9H3Y8|GENE:79144
UNIPROT:Q8TB37:T116:PRGE	Nucleotide-binding protein-like|NUBPL	UNIPROT:Q8TB37|GENE:80224
UNIPROT:Q9UPV9:T116:PRGE	Trafficking kinesin-binding protein 1|TRAK1	UNIPROT:Q9UPV9|GENE:22906
UNIPROT:Q9P1G2:T116:PRGE	Putative uncharacterized protein C8orf39	UNIPROT:Q9P1G2
UNIPROT:Q7KZN9:T116:PRGE	Cytochrome c oxidase assembly protein COX15 homolog|COX15	UNIPROT:Q7KZN9|GENE:1355
UNIPROT:Q9BYC9:T116:PRGE	MRP-L20|MRPL20	UNIPROT:Q9BYC9|GENE:55052
UNIPROT:Q9BRP0:T116:PRGE	hOvo2|OVOL2	UNIPROT:Q9BRP0|GENE:58495
UNIPROT:A1Z1Q3:T116:PRGE	MACRO domain-containing protein 2|MACROD2	UNIPROT:A1Z1Q3|GENE:140733
UNIPROT:Q9H9Z2:T116:PRGE	Protein lin-28 homolog A|LIN28A	UNIPROT:Q9H9Z2|GENE:79727
UNIPROT:O75525:T116:PRGE	KH domain-containing, RNA-binding, signal transduction-associated protein 3|KHDRBS3	UNIPROT:O75525|GENE:10656
UNIPROT:P15088:T116:PRGE	MC-CPA|CPA3	UNIPROT:P15088|GENE:1359
UNIPROT:A6NE01:T116:PRGE	Protein FAM186A|FAM186A	UNIPROT:A6NE01|GENE:121006
UNIPROT:Q9N2K0:T116:PRGE	HERV-H_2q24.3 provirus ancestral Env polyprotein	UNIPROT:Q9N2K0
UNIPROT:Q9BXA6:T116:PRGE	Testis-specific serine/threonine-protein kinase 6|TSSK6	UNIPROT:Q9BXA6|GENE:83983
UNIPROT:Q09666:T116:PRGE	Neuroblast differentiation-associated protein AHNAK|AHNAK	UNIPROT:Q09666|GENE:79026
UNIPROT:Q9NRW3:T116:PRGE	Probable DNA dC-&gt;dU-editing enzyme APOBEC-3C|APOBEC3C	UNIPROT:Q9NRW3|GENE:27350
UNIPROT:P57723:T116:PRGE	Poly(rC)-binding protein 4|PCBP4	UNIPROT:P57723|GENE:57060
UNIPROT:Q9BXA9:T116:PRGE	Sal-like protein 3|SALL3	UNIPROT:Q9BXA9|GENE:27164
UNIPROT:Q6UY11:T116:PRGE	DLK-2|DLK2	UNIPROT:Q6UY11|GENE:65989
UNIPROT:Q9NXD2:T116:PRGE	Myotubularin-related protein 10|MTMR10	UNIPROT:Q9NXD2|GENE:54893
UNIPROT:A6NCW3:T116:PRGE	UPF0627 protein ENSP00000364708|LOC100133301	UNIPROT:A6NCW3|GENE:100133301
UNIPROT:Q9UJU2:T116:PRGE	LEF-1|LEF1	UNIPROT:Q9UJU2|GENE:51176
UNIPROT:O95395:T116:PRGE	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3|GCNT3	UNIPROT:O95395|GENE:9245
UNIPROT:P04206:T116:PRGE	Ig kappa chain V-III region GOL	UNIPROT:P04206
UNIPROT:Q3LI72:T116:PRGE	Keratin-associated protein 19-5|KRTAP19-5	UNIPROT:Q3LI72|GENE:337972
UNIPROT:Q5JUR7:T116:PRGE	Uncharacterized protein C13orf27|TEX30	UNIPROT:Q5JUR7|GENE:93081
UNIPROT:Q06495:T116:PRGE	Sodium-phosphate transport protein 2A|SLC34A1	UNIPROT:Q06495|GENE:6569
UNIPROT:Q9Y5P2:T116:PRGE	Chondrosarcoma-associated gene 2/3 protein	UNIPROT:Q9Y5P2
UNIPROT:Q7KZI7:T116:PRGE	Serine/threonine-protein kinase MARK2|MARK2	UNIPROT:Q7KZI7|GENE:2011
UNIPROT:Q96FJ0:T116:PRGE	AMSH-LP|STAMBPL1	UNIPROT:Q96FJ0|GENE:57559
UNIPROT:Q14D33:T116:PRGE	Uncharacterized protein C2orf85|CXXC11	UNIPROT:Q14D33|GENE:285093
UNIPROT:Q96B18:T116:PRGE	Dapper homolog 3|DACT3	UNIPROT:Q96B18|GENE:147906
UNIPROT:Q8NFZ3:T116:PRGE	Neuroligin Y|NLGN4Y	UNIPROT:Q8NFZ3|GENE:22829
UNIPROT:Q8N0U8:T116:PRGE	Vitamin K epoxide reductase complex subunit 1-like protein 1|VKORC1L1	UNIPROT:Q8N0U8|GENE:154807
UNIPROT:Q9UH64:T116:PRGE	Susceptibility protein NSG-x	UNIPROT:Q9UH64
UNIPROT:P59817:T116:PRGE	Zinc finger protein 280A|ZNF280A	UNIPROT:P59817|GENE:129025
UNIPROT:Q86WI0:T116:PRGE	Lipoma HMGIC fusion partner-like 1 protein|LHFPL1	UNIPROT:Q86WI0|GENE:340596
UNIPROT:Q15057:T116:PRGE	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2|ACAP2	UNIPROT:Q15057|GENE:23527
UNIPROT:O14753:T116:PRGE	hOvo1|OVOL1	UNIPROT:O14753|GENE:5017
UNIPROT:Q07864:T116:PRGE	DNA polymerase epsilon catalytic subunit A|POLE	UNIPROT:Q07864|GENE:5426
UNIPROT:Q6UXQ6:T116:PRGE	Putative uncharacterized protein UNQ6125/PRO20090	UNIPROT:Q6UXQ6
UNIPROT:Q8WUM0:T116:PRGE	Nuclear pore complex protein Nup133|NUP133	UNIPROT:Q8WUM0|GENE:55746
